category,star_rating,kwh_value,basis_unit,basis
fridge,1,1.10,per_day,"Approximated from published 3-star (~250 kWh/yr) and 5-star (~190 kWh/yr) BEE annual consumption figures for ~250L single-door units, extrapolated linearly to 1-star."
fridge,2,0.88,per_day,"Linear interpolation between published 3-star and 5-star BEE annual consumption figures."
fridge,3,0.68,per_day,"Published BEE approx. 3-star annual consumption ~250 kWh/yr for a standard single-door refrigerator (250 kWh / 365 days). Runs continuously, so per_day is the full daily draw."
fridge,4,0.59,per_day,"Linear interpolation between published 3-star (~250 kWh/yr) and 5-star (~190 kWh/yr) figures."
fridge,5,0.52,per_day,"Published BEE approx. 5-star annual consumption ~190 kWh/yr for a standard single-door refrigerator (190 kWh / 365 days)."
ac_1.5ton,1,2.00,per_hour_active,"Assumption: below the published 3-star rate, extrapolated from the 3-star/5-star gap, representing an older/unrated window unit. Multiply by the generator's temperature-dependent daily run-hours."
ac_1.5ton,2,1.80,per_hour_active,"Linear interpolation between assumed 1-star and published 3-star hourly draw."
ac_1.5ton,3,1.50,per_hour_active,"Published: 1.5-ton 3-star AC draws approx. 1.5 kWh per hour of run-time (mid-point of the 1.2-1.7 kWh/hr range cited across sources)."
ac_1.5ton,4,1.35,per_hour_active,"Linear interpolation between published 3-star and 5-star hourly draw figures."
ac_1.5ton,5,1.20,per_hour_active,"Published: 1.5-ton 5-star AC draws approx. 1.2 kWh per hour of run-time (mid-point of the 0.9-1.35 kWh/hr range cited across sources)."
geyser_15l,1,2.40,per_hour_active,"Assumption: below 3-star baseline reflecting higher standing-loss/heating inefficiency for an unrated or low-rated unit. Multiply by the generator's temperature-dependent daily run-hours."
geyser_15l,2,2.20,per_hour_active,"Linear interpolation toward the published typical wattage baseline."
geyser_15l,3,2.00,per_hour_active,"Published: typical 15L geyser rated power ~2000W; figure represents 1 hour of active heating draw at rated power."
geyser_15l,4,1.85,per_hour_active,"Assumption: modest efficiency improvement over the 3-star baseline from reduced standing loss."
geyser_15l,5,1.70,per_hour_active,"Assumption: further efficiency improvement over the 3-star baseline; BEE does not publish a single canonical geyser efficiency curve, so this is a proportional reduction consistent with other BEE-rated categories."
ceiling_fan,1,0.80,per_day,"Assumption: unrated/older fan drawing near the top of the published 50-100W typical range, at an assumed 8 hrs/day (0.10 kWh/hr x 8hr)."
ceiling_fan,2,0.68,per_day,"Interpolation toward the published 5-star figure."
ceiling_fan,3,0.56,per_day,"Published: standard (unrated-to-mid) ceiling fan typical draw ~70W, at an assumed 8 hrs/day (0.07 kWh/hr x 8hr)."
ceiling_fan,4,0.44,per_day,"Interpolation toward the published 5-star figure."
ceiling_fan,5,0.36,per_day,"Published: 5-star rated ceiling fan typical draw ~45W, at an assumed 8 hrs/day (0.045 kWh/hr x 8hr)."
led_bulb,,0.054,per_day,"Published: typical household LED bulb ~9W (BEE/EESL cited range is 6-12W; midpoint used), assumed 6 hrs/day usage (0.009 kWh/hr x 6hr) per bulb."
washing_machine,,0.40,per_day,"Assumption: no dedicated citation retrieved; representative estimate for a semi-automatic/top-load machine run once every 2 days, amortized to a daily average (~0.8 kWh per cycle / 2 days)."
television,,0.40,per_day,"Assumption: no dedicated citation retrieved; representative LED TV draw ~100W at ~4 hrs/day average household viewing (0.10 kWh/hr x 4hr)."
other_including_standby,,,per_day,"Modeled as a percentage add-on (5-8% of total household consumption), not a per-unit wattage — see DATA.md. Reflects general energy-audit literature on miscellaneous/standby loads (phone chargers, routers, clocks, set-top boxes) rather than a single cited figure."
